Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
INSKIP,"Morning conçoit des espaces de travail pour permettre aux entreprises et à leurs équipes de passer une bonne journée de travail.


Morning gère ses propres espaces :
L'entreprise propose différentes solutions (bureaux fermés, plateaux, immeubles entiers) avec des services ""à la carte"" : comptoir, conciergerie, sport, bien-être.
Ces espaces accueillent aussi tous types d'événements.


Morning aménage des bureaux pour des clients externes :
Certaines entreprises confient à Morning la conception et la réalisation de leurs propres bureaux.

",Coworking,Paris,3 offres,/fr/companies/inskip/jobs
36H-immo,"SAGA est un bureau d'études en géotechnique intervenant pour tout type de missions principalement en Ile de France
SAGA s'est très vite développée ce qui a nécessité une adaptation constante pour continuer à se structurer et apporter une expertise de qualité à sa clientèle tout en assurant la pérennité de la structure
SAGA mise sur le potentiel de ses collaborateurs pour les aider à maîtriser pleinement leur métier et à explorer d'autres compétences en les impliquant dans la vie de l'entreprise","Bureau d'études et d'ingénierie, Bâtiment / Travaux publics, Ingénieries Spécialisées",Grigny,2 offres,/fr/companies/36h-immo/jobs
Le Coq Sportif,"Velab commercialise des vélos-cargo pour les professionnels pour les aider à « sortir de l’ornière » du tout voiture en ville.
Nos clients sont des entreprises de logistique, des artisans, et des associations.
Les vélos cargo ( biporteur, triporteur, vélo rallongé ) sont la voiture de fonction ou de service de demain !
Nous les proposons à la vente et en location courte et longue durée.
Nous y ajoutons de nombreux service, comme la maintenance préventive et durative, des interventions d'urgence, du tracking et de l'assurance.",Distribution sélective,Paris,9 offres,/fr/companies/le-coq-sportif/jobs
Berger-Levrault,"INSKIP, c’est la force d’exécution d’un cabinet d’entrepreneurs au service des projets d’innovation les plus ambitieux des startups, corporates & institutions.
Nous sommes à l'intersection des deux mondes entre entrepreneuriat et conseil pour concevoir, déployer et faire décoller des véhicules d’innovation et des nouveaux business qui vont réellement créer de la valeur.
Nous sommes des entrepreneurs au service d’entrepreneurs et nous cherchons à créer et développer les nouveaux business qui vont (bien) faire bouger les lignes de nos sociétés.
Nous favorisons l’accompagnement de projets à impact tels que l’analyse et la co-sélection d’innovations pour les Jeux Olympiques Paris 2024 (technologies de dépollution de l’Air, etc.), l’accélération d’une start-up edtech spécialisée dans l’apprentissage des langues par la VR, ou la création de business innovants autour de la revalorisation de friches et anciens sites industriels à dépolluer.
À ce jour, nous avons accompagné 350 startups et nouveaux business dans leurs démarches d'innovation tels que Vinci, Air France ou L’Ecole Polytechnique et déployé des incubateurs qui ont un vrai impact positif et tangible sur leur écosystème (une de nos fiertés : la création d’un nouveau tissu entrepreneurial au Maroc avec 212Founders, le 1er programme d’innovation d’Afrique du Nord).
Notre culture est profondément entrepreneuriale, libre et bienveillante :

un management basé sur la confiance et orienté résultats
une valorisation des passions et envies de chacun
une équipe soudée et pleine de vie

Notre champ d’action se décline en trois piliers :
We Think : Stratégie & Innovation

Notre différence : Nous sommes 40 entrepreneurs-consultants aux compétences pointues, avec la force de structuration issue du conseil.
Concrètement : nous explorons de nouveaux business et accompagnons des acteurs de toute taille dans leurs démarches d’innovation et d’intrapreneuriat.

We Make : Accompagnement opérationnel de projets


Notre différence : notre culture est profondément entrepreneuriale, hands-on, libre et sans faux semblant avec une équipe qui s’engage dans les projets comme si c’était les siens.


Concrètement : Nous travaillons avec des start-ups en démarrage pour les aider à développer leur modèle d’entreprise (proposition de valeur, business model, business plan, développement de MVP et de POC, structuration des équipes, etc.).
Nous accompagnons également des projets de nouveaux business dans leur déploiement opérationnel pour des PME / ETI / grands groupes.


We Grow : Croissance & Financement


Notre différence : nous sommes ici pour générer des résultats concrets avec des programmes d’innovation qui durent, des nouveaux business qui marchent et un impact positif sur la société.


Concrètement : Nous accompagnons des entrepreneurs dans la définition et l’activation de leviers de croissance, ainsi que dans leurs levées de fonds auprès d’investisseurs internationaux (incubation/seed, accélération/serie A)

","Accompagnement d'entreprises, Organisation / Management, Stratégie","Paris, Casablanca",46 offres,/fr/companies/berger-levrault/jobs
Euris,"Euris, groupe agile et innovant, est un acteur majeur de la santé connectée. Le groupe accompagne depuis plus de 20 ans ses clients dans la mise en œuvre de leurs projets e-santé à travers des solutions digitales et des infrastructures multi-territoires d’hébergement de données de santé.
Grâce à un modèle unique de Marketplace, à travers la marque Cloud Santé®, Euris propose également une gamme complète de services et de technologies, pour faciliter le déploiement des projets IT santé : authentification forte, stockage, télémédecine, cloud hybride, anonymisation des données de santé, stockage et partage de données, Data Privacy, Intelligence Artificielle.
Nos équipes travaillent sur de nombreux sujets innovants liés à la donnée de santé : entrepôts de données de santé, données synthétiques, promotion du médicament et suivi des patients.
Disposant d’une filiale à Shanghai et opérant dans plus de 50 pays, Euris poursuit son expansion commerciale à l’international. Le groupe est en constante recherche de nouveaux talents pour accompagner sa croissance dans cet écosystème digital.","Big Data, IT / Digital, Logiciels, SaaS / Cloud Services, Santé","Boulogne-Billancourt, Shanghai",24 offres,/fr/companies/euris/jobs
MEGA International,"Fondée en 2009, TUCOENERGIE est une entreprise Greentech qui a pour mission de démocratiser la transition énergétique.
TUCOENERGIE propose ainsi à tous les foyers Français des travaux de rénovation énergétique en toute sérénité ! Grâce à une offre clé en main, nous installons des solutions d’efficacité énergétique (isolation, pompe à chaleur, photovoltaïque) partout en France.
Nous gérons ces projets de A à Z pour nos clients : de l’étude de faisabilité à la réalisation des travaux en passant par les démarches administratives et la collecte des aides.
Nous permettons ainsi à chacun de maitriser sa facture énergétique ainsi que son impact environnemental.🌱","Energie, Environnement / Développement durable, SocialTech / GreenTech","Clichy, Puteaux",4 offres,/fr/companies/mega-international/jobs
Neads,"Hunteed est une plateforme de mise en relation entre entreprises et cabinets de recrutement. Depuis 2016, cette startup de la HR Tech propose aux entreprises une solution performante pour simplifier et centraliser l’ensemble de leurs recrutements externalisés. Elle rassemble aujourd'hui la plus grande communauté de cabinets de recrutement de France.","Digital, Recrutement, SaaS / Cloud Services","Paris, Genève, Luxembourg",3 offres,/fr/companies/neads/jobs
Planners,"Fondée en 2008 par d’anciens experts issus de grandes écoles françaises, SYSNAV est une PME française innovante de très haute technologie et en forte croissance. SYSNAV est spécialisée dans les solutions de navigation, de géolocalisation et de capture du mouvement, sans infrastructure, y compris dans les environnements extrêmes, hors de portée des solutions conventionnelles et du GPS.
La technologie unique de SYSNAV se décline au travers de solutions à haute valeur ajoutée pour différents secteurs : le médical et pharmaceutique, l’énergie et l’industrie, l’aéronautique et l’aéroportuaire, la sécurité, la mobilité et le véhicule autonome.
La valeur ajoutée de SYSNAV réside dans sa technologie magnéto-inertielle qui permet de rendre accessible la trajectographie sans infrastructure, dans la diversité des domaines d’application et dans les responsabilités confiées aux collaborateurs tout au long de leur évolution dans l’entreprise.
Les profils SYSNAV s'inscrivent dans un état d'esprit commun depuis la création de la société, tourné vers l’esprit de corps, la créativité et l’envie de trouver des solutions à des projets techniques complexes.
Située dans le centre-ville de Vernon dans l'Eure, à 45 minutes de Paris et à 30 minutes de Rouen et disposant de bureaux parisiens rue de Liège, SYSNAV bénéficie d’une situation géographique privilégiée.","Aéronautique / Spatiale, Intelligence artificielle / Machine Learning, Logiciels","Vernon, Paris",2 offres,/fr/companies/planners/jobs
M Education,"MEGA est un éditeur de logiciels français qui accompagne ses clients dans leurs projets de gouvernance et de transformation. L’innovation et la performance sont les clés de son succès.
MEGA en bref
🚀Entreprise internationale Leader sur son marché.
🌍 Siège social au cœur de Paris : 9 filiales à Londres, Milan, Berlin, Casablanca, Singapour, Sydney, Mexico, Sao Paulo, Boston, et + de 30 partenaires dans le monde.
🙌 370 employé.es de + de 20 nationalités différentes / + de 2000 clients grands comptes du secteur privé et publique, présents dans 52 pays !
Pourquoi rejoindre MEGA ?

intégrer une société à taille humaine composée de passionnés de technologie aux personnalités, cultures et compétences variées;
travailler en équipe dans un environnement qui favorise les échanges;
bénéficier d’un management de proximité où vos talents sont valorisés;
avoir l’opportunité d’apprendre au quotidien et de se former pour développer ses compétences;
évoluer dans un milieu multiculturel et intergénérationnel;
profiter d’une mobilité interne et géographique.

Des missions diverses, un fort esprit d’équipe, du challenge,…. Voila ce qui vous attend à MEGA !","IT / Digital, Logiciels, SaaS / Cloud Services",Paris,6 offres,/fr/companies/ecole-m/jobs
Landmarks,"Our Paris office, Philips Health Technology Innovation Paris (“HIP”), is dedicated to software, AI, data management and interoperability. It brings together connected care solutions teams specializing in cardiology analytics, diagnostic and interventional imaging, and patient monitoring. These teams take projects from research and development right up to commercialization, working at the forefront of healthcare innovation with clinical sites both in France and throughout the world.
With us, you get to put your technical knowledge of programming languages, cloud computing, AI, and machine learning to work in a fast-evolving environment where you can play a critical role in the future of healthcare. You’ll have access to top-notch R&D facilities, applications expertise, the latest tech stacks, and modern technologies.
Philips Health Technology Innovation site (“HIP”) brings together Philips connected care solutions teams from the French acquisitions Capsule and Cardiologs plus Philips research team Medisys.","Intelligence artificielle / Machine Learning, Objets connectés","Paris, Boston",5 offres,/fr/companies/landmarks/jobs
Visibrain,"Visibrain est plateforme SaaS de veille des médias sociaux (""Social Listening"") qui permet aux professionnels de la communication digitale de gérer les problématiques de réputation et d'influence.
Bien établie sur son marché et rentable depuis 2010, Visibrain compte aujourd'hui plusieurs centaines de références prestigieuses dans différents secteurs (Bouygues Télécom, Havas, Carrefour, Dior, gouvernements et institutions européennes, Publicis, Unicef, SNCF...).","Big Data, Marketing / Communication, SaaS / Cloud Services",Paris,3 offres,/fr/companies/visibrain/jobs
"SquadEasy, l'app de cohésion préférée des salariés","PASQAL designs and develops quantum processors (QPUs: Quantum Processing Units) and associated software tools. Their innovative technology makes it possible to handle use cases that are currently beyond the reach of the most powerful supercomputers.
QPUs are extremely energy-efficient, and will help to significantly reduce the carbon footprint of the HPC industry.
About us:


French Tech 2030 Laureate


Enabled by Nobel Prize-winning technology


A team made of scientists, quantum engineers as well as deeptech enthusiasts ;)


In direct competition with the world's biggest players (Google - Microsoft - IBM - Amazon...)


130 million Euros raised

",Ingénieries Spécialisées,"Massy, Amsterdam, Fontenay-Sous-Bois",2 offres,/fr/companies/squadeasy/jobs
Metanext,"La mission de CLIC&MOI est porteuse de sens et unificatrice depuis 2015 ! Elle répond à 3 grands enjeux :

L'inclusion numérique et sociale des seniors, qui rencontrent des difficultés avec toutes les avancées technologiques.
L'amélioration de la situation financière et de l’employabilité des étudiants et jeunes qui ont du mal à joindre les deux bouts.
L'accompagnement des entreprises et administrations qui souffrent également de la fracture numérique, car tous leurs parcours clients se digitalisent. Chaque jour, leur relation client s’affaiblit avec les personnes éloignées du numérique.

Ainsi, CLIC&MOI guide les clients des entreprises et administrations dans la maîtrise de leur espace client en ligne et de leur application mobile, ainsi que dans la sécurité sur internet et tous les nouveaux incontournables du numérique tels que la Santé connectée, les appels vidéo, la carte-vitale dématérialisée, etc. Cela se fait sous la forme d’ateliers collectifs personnalisés, dispensés par des étudiants qualifiés que nous formons et rémunérons.
Aujourd’hui, ce sont plus de 22 partenaires qui nous font confiance, tels que SFR, KLESIA, Malakoff Humanis, Bouygues Telecom, l'Assurance Retraite, des départements, etc.","Formation, Services à la personne, Stratégie",Paris,14 offres,/fr/companies/metanext/jobs
Enovacom,"MIEUX est la première agence de communication sur les enjeux Développement Durable des entreprises et des marques, créée en 2009.
Sa raison d'être est : ""Accélérer la transition sociale et environnementale par un nouveau modèle d'agence engagée, experte, agile, créative et heureuse"".
Ses clients sont des grandes entreprises de tous les secteurs et quelques PME et start-ups éco-innovantes. Elle les accompagne sur la communication interne (sensibiliser et embarquer les salarié.es), la communication externe (vers les clients, territoires, ONG, citoyens...) et la communication produit (plateforme de marque, dispositif de médiatisation, activation...).",Marketing / Communication,Boulogne-Billancourt,3 offres,/fr/companies/enovacom/jobs
HAPPYWOOL.COM,"Squadeasy est ouvert aux talents animés par l'idée que travailler en s'amusant avec une équipe ouverte et motivée est à la fois plus efficace et source d'épanouissement.
Squadeasy propose une application mobile innovante qui transforme les comportements des salariés :

la cohésion interne, les liens sociaux, le sens au travail
la santé physique et mentale
la mobilité décarbonée, la RSE

Sur l'application, l'utilisateur rejoint sa communauté d'entreprise dans un challenge où chaque action positive, prouvée, contribue à un objectif solidaire. En moyenne sur 2022 pour + 650 K utilisateurs : 72% d'actifs quotidiens avec 6,2 sessions / jour sur l'app. !
Les entreprises choisissent SquadEasy pour :

Agir de manière innovante sur la RSE et améliorer leur bilan Carbone
Améliorer la Santé/QVT de tous, en incluant les personnes en situation de handicap
Favoriser la cohésion sociale et le sentiment d'appartenance

Avec une croissance à deux chiffres depuis 2020, plus de 200 entreprises sont clientes (ACF, Aides, La Poste, Décathlon, Edenred, SG Group, Safran, Suez,  ...) Plus de 650.000 utilisateurs en 2022, traduit en 13 langues, utilisé dans plus de 90 pays, 3 tatouages du Logo SquadEasy, 2 mariages parmi nos utilisateurs et plein de belles histoires qui font des entreprises plus responsables, des collaborateurs plus engagés, et un monde plus harmonieux.","Application mobile, SaaS / Cloud Services, Sport","Paris, Montréal",4 offres,/fr/companies/pp-yarns-co/jobs
RIDE!,"RIDE! is a NewSpace company based in Paris, France and founded in 2020.
RIDE!’s vision is to provide the ultimate experience of launch services, on a large scale.
To do so, RIDE! has designed a digital platform to handle the end-to-end launch process for both Launch Vehicles and Satellite Operators ecosystems. From scouting launch opportunities, assessing performance, price, and level of service, to contract launch service agreements, RIDE!’s platform allows its users a seamless experience.
Besides its platform, RIDE! provides a range of launch services, operated by mission managers, in charge of multi-deployment analysis, Launch RFP procurement strategy, Launch integration, Radiofrequency Registration, or Space Insurance benchmarking,
RIDE!’s strong ecosystem is composed of 40+ launch vehicles and OTVs, as well as 350+ satellite operators in more than 50 countries.
Launching a satellite has never been that convenient, affordable and reliable !","Aéronautique / Spatiale, SaaS / Cloud Services",Paris,4 offres,/fr/companies/ride/jobs
Digitaleo,"Cureety est une startup bretonne, opérant dans le domaine de la santé digitale et présente en France, en Espagne et en Italie.
La structure a développé une plateforme de télésurveillance, classée dispositif médical, qui grâce à ses algorithmes de classification clinique et ses questionnaires personnalisés, vise à améliorer la santé des patients souffrant de cancer en les accompagnant vers la prise en charge la mieux adaptée. Utilisée par les équipes médicales dans plus d'une quarantaine d'établissements, la plateforme propose également aux patients, en fonction de leur situation personnelle, d'accéder à du contenu d'éducation thérapeutique et à des soins de support digitaux, pour l'aider à mieux comprendre et gérer sa maladie au quotidien.
Cureety est la première société à avoir obtenu été 2023 un avis favorable de la Haute Autorité de Santé pour son remboursement. La mise à disposition de sa plateforme est prise en charge à 100% par l'assurance maladie, sans aucun reste à charge pour les patients.
Cureety oeuvre également pour la recherche médicale en oncologie en partenariat avec des groupes de recherche académiques reconnus tels qu'Unicancer.","Application mobile, Logiciels, Services à la personne","Paris, Dinan",5 offres,/fr/companies/digitaleo-2/jobs
Fillndrive,"Élue agence digitale de l’année 2020 🏆, Adveris c’est 65 talents surmotivés et passionnés par le web et la communication qui œuvrent au quotidien pour satisfaire au mieux les demandes de ses clients.
Grâce à l'expertise de nos équipes talentueuses, nous sommes fiers d'être dans les 10 agences les plus récompensées en France avec 50+ Mentions Honors Awwwards.
Adveris apporte son expertise technique à une cinquantaine d’entreprises chaque année, de la start-up au groupe du CAC 40. Création ou refonte de sites vitrine et e-commerce, éco-conception, identité de marque, brand content, campagnes d’activations et tant d’autres dispositifs marquent le quotidien de nos équipes.
Le plus important est que 93% de nos collaborateurs déclarent qu’Adveris est une entreprise où il fait vraiment bon travailler 🙌 via Great Place To Work©.
🚀 NOS CHIFFRES CLÉS :

2009 - Année de création
30 ans – Âge moyen des collaborateurs
5M € - Chiffre d’affaires
45% de femmes & 55% d'hommes - Parité presque parfaite

❤️ NOS VALEURS :

Passion
Esprit d’équipe
Ambition
Service

Notre site carrière : https://carriere.adveris.fr/
Notre site web : https://www.adveris.fr/","Digital, Marketing / Communication",Paris,3 offres,/fr/companies/fillndrive/jobs
deuxiemeavis.fr,"BCG est le cabinet pionnier du conseil en
stratégie. Depuis plus de 60 ans, nous
accompagnons nos clients, dans la résolution de
leurs problématiques les plus complexes et à
l'agenda de leurs dirigeants.
Avec plus de 100 bureaux présents dans 50 pays,
nous servons parmi les entreprises et
organisations les plus influentes du monde.
Leader sur le marché en France, le bureau Paris
est l'un des plus importants de notre réseau et
joue un rôle clef dans le développement du BCG
en Europe et en Afrique.
Soutenus par une croissance régulière et un
portefeuille d'activité équilibré, nous travaillons
à Paris pour des clients dans des secteurs variés
tels que les biens de consommation, la finance,
l'ingénierie, la santé ou encore les
télécommunications, autant de possibilités
d'apprendre et de vous développer sur les sujets
qui vous intéressent.",Stratégie,Paris,2 offres,/fr/companies/deuxieme-avis/jobs
Pollen,"Au départ plateforme d'envoi de SMS imaginée dans un grenier en 2004, Digitaleo a bien grandi : aujourd'hui, ils proposent une solution de marketing local à destination des marques et des réseaux. Ce qui ne changera jamais c'est qu’ils feront toujours tout pour simplifier la communication des entreprises.
De la modération des avis clients, à la gestion des réseaux sociaux en passant par les campagnes sponsorisées et la visibilité locale, ils aident leurs clients à démultiplier le trafic dans leurs établissements !
Leur ADN vient du local c’est pourquoi ils ont conçu leur plateforme en s’inspirant de la réalité terrain de leurs clients. Digitaleo est convaincu que la force des réseaux vient de leurs points de vente. Il faut miser sur le marketing local pour être pertinent vis-à-vis d’un consommateur qui recherche la proximité et l'authenticité.
En 2022, Digitaleo achète la société marseillaise Kamp'n et devient multisites avec des collaborateurs à Rennes & Marseille 🌊","AdTech  / MarTech, Logiciels, SaaS / Cloud Services","Rennes, Marseille",Candidatures spontanées !,/fr/companies/pollen/jobs
Twelve Consulting,"Pur produit du Nord de la France, Rapid Flyer s’engage depuis 2003 à diffuser du contenu au plus grand nombre, en favorisant des médias toujours plus responsables.
Par le biais d’imprimés de qualité qui ne manquent pas de personnalité, on a à cœur d’accompagner nos clients dans leurs projets en leur apportant les conseils et les compétences dont ils ont besoin ! Tous ensemble, on avance autour d’un large catalogue qui comprend des imprimés éco-responsables ainsi que des imprimés express livrés en 24h chez nos clients (ça a du bon d’imprimer en France !).","E-commerce, Marketing / Communication",Marquette-Lez-Lille,3 offres,/fr/companies/twelve-consulting/jobs
SAS France,"SAS est le leader mondial de l’analytique depuis 1976. Grâce aux solutions et services innovants, SAS aide ses clients à transformer leurs données en intelligence.
SAS est fier de faire partie du mouvement Data for Good. Qu'il s'agisse de prévenir des maladies ou de protéger des espèces en danger, les données peuvent faire la différence.  
Enfin, SAS accorde beaucoup d’importance à sa culture d’entreprise qui est primée au niveau du Groupe sur de multiples aspects.",Logiciels,La Défense,1 offre,/fr/companies/sas-france/jobs
Pandora,"Au GIE Afer, 220 collaborateurs assurent le service client de l’Afer en gérant la vie des contrats d’assurance épargne et retraite.
Leur cœur de métier est donc d’accompagner au quotidien les adhérents et leurs conseillers pour leur offrir la meilleure qualité de service.
Leur devise ? Proches, responsables, agiles, humains et exigeants !
Implanté au cœur de Paris, vers Saint-Lazare, il a aussi un 2e bureau historique à Nice, en plein centre-ville sur l’avenue Jean Médecin.",Assurance,"Paris, Nice",38 offres,/fr/companies/pandora-/jobs
CEZAME MUSIC AGENCY,"Vérité, esthétisme, originalité sont les maîtres mots de Voyageurs du Monde. Le spécialiste du voyage sur mesure affiche une forte identité, basée sur l’expertise de ses 220 conseillers, par pays, mais aussi par régions. Des passionné.es qui chaque jour composent des expériences personnalisées selon le profil, les envies et le budget de leurs clients, à travers plus de 150 destinations. Leur créativité est relayée sur place par un réseau local de concierges francophones et de contacts privilégiés (les like a friend).
Adaptables à tout instant, ces expériences personnalisées sont agrémentées d’un éventail de services haut de gamme. L’entreprise est représentée à travers 18 agences réparties entre la France, la Suisse, la Belgique et le Canada.
Voyageurs du Monde est propriétaire de cinq hébergements d’exception (dont le Steam Ship Sudan, vapeur centenaire naviguant sur le Nil et la Satyagraha House, maison de Johannesburg dans laquelle vécut Gandhi). L’entreprise est également représentée à l’internationale par ses filiales (Afrique du Sud, Angleterre, Brésil, Canada, Égypte, Etats-Unis, Grèce, Islande, Maroc).",Tourisme,Paris,0 offre,/fr/companies/cezame-music-agency/jobs
Ecole du Bien Naitre,"Office Santé c'est l'acteur référent qui conçoit, construit et gère des structures de pôles et maisons de santé sur l'ensemble du territoire. Répondre aux aspirations des médecins et des patients en élaborant des espaces agréables à travailler et pour se faire soigner, c'est notre leitmotiv !
Depuis 2014, nous accompagnons les collectivités et professionnels de santé pour lutter efficacement contre les déserts médicaux. Conception, construction, gestion, salariat, Office Santé propose une offre sur mesure et clé en mains.","Immobilier commercial, Santé",Cesson-Sévigné,5 offres,/fr/companies/ecole-du-bien-naitre/jobs
iAdvize,"Leader mondial de la joaillerie, Pandora donne chaque jour vie aux amours de millions de personnes. Ses bijoux permettent aux individus de s'exprimer. Pandora est fière de faire partie de leurs histoires et des moments les plus importants de leur vie. Elle est également fière de l'impulsion qu'elle donne à son secteur en matière de développement durable.","E-commerce, Joaillerie, Luxe",La Défense,12 offres,/fr/companies/iadvize/jobs
Groupe Marraud,"Ascor est une entreprise familiale rennaise, spécialisé dans le digital learning, co-dirigée par un trinôme femmes/homme, parfaitement complémentaire. Nous proposons notamment des formations dans le secteur de la beauté, de la petite enfance, de la cuisine, de la pâtisserie…
Notre raison d'être : rendre la formation accessible au plus grand nombre. Certifiés QUALIOPI, nous formons chaque année plus de 6000 apprenants.
Notre haut niveau d’exigence de la satisfaction client repose sur l’implication et l’adhésion de tous les salariés.",Formation,"Rennes, Cesson-Sévigné",16 offres,/fr/companies/groupe-philippe-marraud/jobs
Delia Technologies,"La transition d'une économie linéaire à une économie circulaire est essentielle pour espérer répondre aux défis environnementaux actuels.
Fondée en 2021, CircularX est une solution SaaS qui permet aux retailers et marques de lancer leur offre de Seconde Vie omnicanale pour capter la valeur du marché de l'occasion, acquérir et fidéliser leurs clients tout en s'inscrivant dans une démarche de durabilité.
L'objectif de CircularX est simple : faire de la seconde vie une réalité dans toutes les catégories de produits ! ","Logiciels, SaaS / Cloud Services","Gentilly, Lille, Nantes",3 offres,/fr/companies/delia-technologies/jobs
Clean Horizon Consulting,"Cohort développe un logiciel de marketing relationnel SaaS à destination des marques et distributeurs désireux de reprendre la main sur l'engagement client.
Avec sa solution plug and play, Cohort transforme l'espace client traditionnel en un espace d'engagement privilégié entre la marque et ses clients.
Grâce à son interface intuitive, les marques sont en mesure de concevoir des parcours d'engagement personnalisés et interactifs et de les déployer en quelques clics dans leur espace client.
Plus de 20 marques prestigieuses utilisent la solution Cohort au quotidien.","AdTech  / MarTech, Logiciels, SaaS / Cloud Services",Paris,7 offres,/fr/companies/clean-horizon-consulting/jobs
Santéclair,"Créée en 2003, Santéclair est aujourd’hui une entreprise à mission et un acteur charnière intervenant sur 3 univers du système de santé français.
Santéclair est convaincue que pour une société en bonne santé, il faut un juste accès aux soins ! Et elle est fière d'y contribuer en orientant et en accompagnant depuis 20 ans plus de 10 millions de français dans leurs parcours de soins. Elle accompagne également plus de 60 acteurs de l’assurance santé partenaires via des solutions expertes et apporte des services « facilitateurs » d’activité à plus de 150 000 professionnels de la santé partenaires, recommandés ou conventionnés.
Son engagement et sa volonté d’être actrice du changement pour que notre système de santé continue à servir le plus grand nombre sont la raison d’être de cette entreprise et de ses plus de 350 collaborateurs !","Assurance, Santé","Nantes, Paris",4 offres,/fr/companies/santeclair/jobs
Entreprendre Pour Apprendre,"Talkspirit est un réseau social d’entreprise, une plateforme complète pour mieux travailler au quotidien dans les organisations.
La start-up se positionne aujourd’hui dans le top mondial des solutions collaboratives (Gartner). Adoptée par plusieurs centaines d’organisations, elle ambitionne de devenir un leader à l’international.","Logiciels, SaaS / Cloud Services","Paris, Lyon, Montpellier",4 offres,/fr/companies/entreprendre-pour-apprendre/jobs
CEREALOG,"Fondée en 2022, Foodjer révolutionne la foodtech pour les consommateurs et les restaurateurs. La startup crée des marques de restauration digitales proposées clés en main à des restaurants sous-utilisés pour leur permettre d’accroître leur chiffre d’affaires et de mieux rentabiliser leurs coûts fixes.
La mission de Foodjer est double :

Devenir la référence du ""bien manger"" en livraison, et répondre à toutes les envies.
Remplir les cuisines des restaurants avec des marques digitales conçues pour s'intégrer  dans n'importe quel établissement !

Foodjer, c'est aujourd'hui une cinquantaine de restaurants virtuels, 5 marques (Partner Burgers 🍔, Gimmy 🍔, Nola 🐔, Seoul Mate 🐔🇰🇷 et S'More 🍪) et des dizaines de milliers de repas livrés avec amour.
Foodjer a été co-fondée par Jennifer Cayla (ex-BCG, ESCP / CentraleSupélec 2017) et Fériel Ferrad (ex-BCG, HEC 2017). La startup est soutenue par les fonds Aonia Ventures, Issarts Capital et par des Business Angels.",FoodTech,Paris,3 offres,/fr/companies/cerealog/jobs
Bluekango,"Since 2009, CIB Consulting & Transformation is BNP Paribas Corporate & Institutional Banking’s in-house management consulting team. With high exposure to Senior Management, CIBC&T has become a competitive alternative to the best consulting firms.","Banque, Organisation / Management, Stratégie",Pantin,11 offres,/fr/companies/bluekango/jobs
FINGREEN AI,"L'association Entreprendre Pour Apprendre agit quotidiennement en faveur de l'égalité des chances.
Son objectif ? Insuffler aux jeunes l'envie et la confiance d'entreprendre leur vie en leur permettant d'acquérir des compétences et une ouverture d'esprit utiles à leurs démarches d'avenir : pour une orientation sereine et choisie.
Parce que c'est en aidant la jeunesse à révéler son potentiel qu'elle lui donnera les clés pour construire un monde plus durable et plus juste.",Association,"Paris, Ajaccio, Besançon, Bordeaux, Caen, Clermont-Ferrand, Dijon, Fleury-Les-Aubrais, Fort-De-France, Grenoble, Lille, Lyon, Marseille, Mont-Saint-Aignan, Montpellier, Nancy, Nantes, Nice, Pointe-À-Pitre, Reims, Rennes, Saint-Denis, Strasbourg, Toulouse, Tours",2 offres,/fr/companies/fingreen-ai-1/jobs
Bimbo QSR,"Finthesis est la plateforme de Business Intelligence dédiée aux experts-comptables.
En raison des évolutions technologiques qui touchent la profession, telle que l'arrivée de la facture électronique, le métier est voué à s’orienter vers plus de conseil et d'accompagnement client. La mission de Finthesis est d'accompagner les experts-comptables dans cette transition.
Finthesis offre une solution de Business Intelligence et de Data Visualisation clé en main « post comptabilité » permettant d’exploiter la donnée comptable et financière et de la restituer, pour se concentrer sur leur valeur ajoutée : le conseil.
Côté DAF à temps partagé et DAF interne dans des sociétés, Finthesis offre un gain de temps considérable dans l’analyse financière, les prévisions et leur restitution.
Finthesis est une jeune entreprise qui construit sa culture sur la rigueur, l’excellence et l’humain. Ce qui offre en parallèle la liberté de la flexibilité et de l’autonomie des salariés. Elle construit un environnement sain, dans lequel la communication et la bonne humeur sont des éléments clés.",FinTech / InsurTech,Lyon,11 offres,/fr/companies/bimbo-qsr/jobs
L - Founders of loyalty France,"Ensemble, nous partageons la vision audacieuse de rendre le monde plus sûr.
EGERIE est la plateforme leader de l’analyse et du pilotage des risques cyber en Europe.
Notre solution permet aux organisations d’orchestrer, automatiser et centraliser leurs stratégies d’analyses des risques en cybersécurité et d’industrialiser leurs programmes cyber pilotés par les risques.
EGERIE est une entreprise en perpétuelle expansion, animée par des personnalités qui se réunissent autour des valeurs humaines exaltantes telles que la bienveillance, la collaboration, le respect et l'engagement.
Breaking news 🚀 Début 2023, EGERIE a levé, en série B, 30 millions d’euros, propulsant ainsi l’entreprise vers des sommets inexplorés.","Cybersécurité, Logiciels","Toulon, Paris",3 offres,/fr/companies/l-founders-of-loyalty-france/jobs
Anywr Group,"Lancée en 2022, Lydda est une startup spécialiste des plateformes sociales, elle gère la présence des créateurs et des producteurs de contenus sur Tiktok, Facebook, Snapchat ou Youtube.
Elle est composée d'une équipe de passionnés de média et de réseaux sociaux qui lui ont permis de connaître une croissance régulière.
Grâce à la confiance qui lui est accordée, elle accompagne les meilleurs producteurs de contenus, qu'ils soient créateurs digitaux ou producteurs plus traditionnels en télé et cinéma.",Média,Paris,0 offre,/fr/companies/anywrgroup/jobs
